Symptoms,Disease
"weight gain, vomiting, insomnia, nausea, shortness of breath, joint pain, anxiety,7",Ulcer
"tremors, nausea, abdominal pain, weight gain, muscle pain, vomiting, appetite loss,7",Heart Disease
"abdominal pain, fever, fatigue, nausea, blurred vision, muscle pain,6",Dementia
"sweating, cough, dizziness, chest pain,4",Parkinson's
"back pain, chest pain, anxiety, shortness of breath,4",Sinusitis
"sweating, weight loss, sore throat, abdominal pain,4",Stroke
"sweating, nausea, joint pain,3",Food Poisoning
"nausea, sweating, runny nose, tremors, anxiety, appetite loss, swelling,7",Migraine
"weight loss, joint pain, muscle pain,3",Parkinson's
"diarrhea, sore throat, muscle pain, rash, cough, fatigue,6",Dementia
"chest pain, insomnia, fever,3",Anxiety
"sneezing, muscle pain, fever,3",Chronic Kidney Disease
"vomiting, sneezing, sweating,3",Migraine
"fever, shortness of breath, runny nose, sweating, headache,5",IBS
"appetite loss, joint pain, back pain, chest pain, sneezing, abdominal pain,6",Dermatitis
"insomnia, shortness of breath, diarrhea, fever, blurred vision, back pain, sore throat,7",Anemia
"chest pain, fatigue, dizziness, diarrhea, insomnia, appetite loss, shortness of breath,7",IBS
"appetite loss, fever, depression, tremors, rash, cough,6",Epilepsy
"sore throat, swelling, muscle pain, tremors,4",Sinusitis
"nausea, tremors, shortness of breath, fever,4",Dermatitis
"depression, sneezing, chest pain,3",Allergy
"sore throat, muscle pain, headache, diarrhea, tremors,5",Asthma
"abdominal pain, sneezing, shortness of breath, chest pain,4",Allergy
"vomiting, headache, sneezing, muscle pain,4",Pneumonia
"appetite loss, fatigue, weight gain, muscle pain,4",Dementia
"joint pain, shortness of breath, vomiting,3",Obesity
"back pain, sore throat, headache, anxiety, weight gain,5",Depression
"tremors, fatigue, abdominal pain, insomnia,4",Anemia
"anxiety, runny nose, joint pain,3",Asthma
"vomiting, sweating, dizziness, fever, sneezing, back pain,6",Chronic Kidney Disease
"dizziness, anxiety, diarrhea, runny nose, swelling, rash, appetite loss,7",Anxiety
"depression, cough, weight gain, appetite loss, dizziness,5",Arthritis
"nausea, depression, shortness of breath, insomnia,4",Bronchitis
"tremors, fever, joint pain, weight gain, swelling,5",Dermatitis
"back pain, abdominal pain, anxiety, fever,4",Asthma
"insomnia, nausea, sneezing,3",Migraine
"swelling, chest pain, weight loss, rash, depression,5",IBS
"abdominal pain, anxiety, nausea, joint pain, back pain, tremors,6",Anemia
"swelling, cough, back pain, fatigue, tremors, abdominal pain,6",Tuberculosis
"diarrhea, appetite loss, back pain, sneezing, fever, blurred vision,6",Influenza
"muscle pain, blurred vision, dizziness, fatigue, shortness of breath,5",Chronic Kidney Disease
"blurred vision, weight loss, muscle pain, sore throat,4",Diabetes
"fatigue, diarrhea, depression, weight loss, nausea,5",Parkinson's
"blurred vision, cough, sore throat, depression, fever,5",COVID-19
"rash, cough, insomnia,3",Dementia
"fatigue, muscle pain, chest pain, dizziness, abdominal pain, blurred vision, cough,7",Diabetes
"blurred vision, diarrhea, dizziness, rash, fatigue, weight gain,6",Influenza
"blurred vision, shortness of breath, rash, dizziness, muscle pain,5",Hypertension
"muscle pain, weight loss, headache, blurred vision, back pain, dizziness,6",Chronic Kidney Disease
"headache, tremors, cough, rash, appetite loss, fatigue,6",Dementia
"headache, muscle pain, abdominal pain,3",Common Cold
"runny nose, sneezing, muscle pain, back pain, fatigue, weight gain,6",Liver Disease
"joint pain, diarrhea, runny nose, appetite loss, dizziness, rash,6",Dementia
"anxiety, chest pain, back pain, diarrhea, fatigue, insomnia,6",Obesity
"joint pain, runny nose, sore throat, appetite loss, tremors, nausea,6",Dermatitis
"headache, anxiety, sweating, diarrhea,4",Gastritis
"depression, sore throat, weight loss, sneezing, tremors, weight gain, vomiting,7",Diabetes
"dizziness, anxiety, swelling, diarrhea, depression, runny nose,6",Anxiety
"vomiting, sore throat, swelling,3",Food Poisoning
"headache, fever, sneezing, sore throat, vomiting, abdominal pain,6",Thyroid Disorder
"insomnia, weight loss, dizziness, chest pain, depression, back pain,6",Arthritis
"diarrhea, anxiety, vomiting, shortness of breath, sore throat,5",Heart Disease
"chest pain, sweating, muscle pain, blurred vision, nausea, depression,6",Sinusitis
"weight gain, joint pain, runny nose, blurred vision, headache, fever,6",Influenza
"blurred vision, dizziness, rash,3",Chronic Kidney Disease
"fever, fatigue, back pain, muscle pain, dizziness,5",Migraine
"tremors, sneezing, abdominal pain, runny nose, insomnia,5",Influenza
"weight loss, sneezing, blurred vision, diarrhea,4",Migraine
"rash, muscle pain, shortness of breath, headache, anxiety, sweating, tremors,7",Anxiety
"cough, anxiety, dizziness, chest pain, sneezing, sore throat, back pain,7",Allergy
"muscle pain, abdominal pain, sneezing,3",Sinusitis
"anxiety, joint pain, fatigue, blurred vision, dizziness, appetite loss, insomnia,7",Epilepsy
"fever, shortness of breath, chest pain, vomiting, rash, weight loss, diarrhea,7",Common Cold
"insomnia, sweating, sneezing, cough, back pain, runny nose,6",Influenza
"swelling, rash, diarrhea, fever, cough,5",Asthma
"shortness of breath, sore throat, rash, headache,4",Allergy
"headache, weight loss, fatigue,3",Tuberculosis
"diarrhea, appetite loss, abdominal pain, cough, fatigue,5",Parkinson's
"tremors, blurred vision, rash, swelling, vomiting, runny nose,6",Stroke
"fever, tremors, nausea, muscle pain, depression, runny nose,6",Thyroid Disorder
"joint pain, sore throat, abdominal pain, weight gain, depression, insomnia, shortness of breath,7",Obesity
"weight loss, runny nose, abdominal pain, headache, insomnia,5",Tuberculosis
"vomiting, swelling, muscle pain, rash, appetite loss,5",Tuberculosis
"vomiting, appetite loss, weight loss, chest pain, tremors,5",Common Cold
"rash, fatigue, runny nose, swelling,4",Common Cold
"blurred vision, chest pain, muscle pain, runny nose, headache,5",Parkinson's
"chest pain, fatigue, weight loss, rash, insomnia,5",Obesity
"vomiting, abdominal pain, sweating,3",Anxiety
"muscle pain, diarrhea, rash, chest pain, runny nose,5",COVID-19
"blurred vision, back pain, sweating, weight loss, dizziness, chest pain, runny nose,7",Heart Disease
"sweating, diarrhea, blurred vision, depression, chest pain, abdominal pain, joint pain,7",Liver Disease
"fatigue, blurred vision, anxiety, sneezing,4",Common Cold
"vomiting, headache, appetite loss, muscle pain, chest pain,5",Anxiety
"rash, fatigue, chest pain, weight loss,4",Diabetes
"weight loss, nausea, weight gain,3",Common Cold
"fever, fatigue, cough,3",Parkinson's
"insomnia, cough, fever, tremors, fatigue, anxiety, weight gain,7",Dermatitis
"shortness of breath, weight loss, swelling, sweating, diarrhea, chest pain, fever,7",Asthma
"runny nose, insomnia, sneezing,3",Liver Disease
"nausea, appetite loss, anxiety, sneezing, cough, vomiting,6",Bronchitis
"weight loss, sweating, swelling, depression, abdominal pain,5",Arthritis
"shortness of breath, joint pain, insomnia, swelling,4",Influenza
"anxiety, depression, swelling, sneezing,4",Anxiety
"sneezing, weight gain, back pain, abdominal pain, diarrhea, fever,6",Gastritis
"dizziness, vomiting, abdominal pain, nausea, appetite loss,5",Pneumonia
"blurred vision, cough, sore throat, tremors,4",COVID-19
"depression, abdominal pain, swelling, nausea, headache, joint pain,6",Obesity
"fatigue, sore throat, anxiety, chest pain, vomiting, muscle pain,6",Gastritis
"joint pain, headache, weight gain, runny nose, weight loss,5",Anxiety
"vomiting, sore throat, weight loss, tremors, depression,5",Food Poisoning
"blurred vision, appetite loss, joint pain, anxiety, cough,5",Chronic Kidney Disease
"joint pain, vomiting, chest pain, sneezing, fatigue,5",Hypertension
"cough, fatigue, sneezing, runny nose, sore throat, tremors, weight loss,7",Allergy
"shortness of breath, cough, joint pain, rash, fever,5",IBS
"back pain, chest pain, swelling, sore throat, sweating, cough,6",Food Poisoning
"tremors, headache, sore throat, blurred vision, fever,5",Anxiety
"vomiting, runny nose, fatigue,3",Gastritis
"depression, sneezing, blurred vision, weight gain, swelling, headache, appetite loss,7",Heart Disease
"tremors, cough, runny nose, appetite loss, weight loss, rash, insomnia,7",Anemia
"sore throat, insomnia, anxiety, nausea, abdominal pain, weight gain, sweating,7",Depression
"muscle pain, sweating, weight gain, tremors, cough, diarrhea,6",Obesity
"muscle pain, headache, tremors, shortness of breath, appetite loss, sore throat, joint pain,7",Migraine
"sore throat, weight loss, muscle pain,3",Allergy
"cough, sweating, back pain, swelling, anxiety,5",Asthma
"sore throat, fatigue, blurred vision, shortness of breath, fever, insomnia,6",Stroke
"chest pain, insomnia, runny nose, fever,4",Common Cold
"sneezing, chest pain, insomnia, muscle pain,4",IBS
"insomnia, rash, cough, depression,4",Tuberculosis
"sore throat, weight gain, weight loss, sweating,4",Liver Disease
"back pain, insomnia, dizziness, weight gain,4",Stroke
"appetite loss, shortness of breath, weight gain, runny nose, cough, swelling, sore throat,7",IBS
"dizziness, fatigue, sweating, runny nose, sore throat, shortness of breath,6",Food Poisoning
"chest pain, nausea, weight loss, sweating,4",Dermatitis
"vomiting, blurred vision, fatigue, back pain, appetite loss, cough,6",IBS
"tremors, nausea, runny nose,3",IBS
"sore throat, rash, shortness of breath, cough, anxiety, abdominal pain,6",Tuberculosis
"fever, diarrhea, weight gain,3",Parkinson's
"cough, diarrhea, vomiting,3",Pneumonia
"vomiting, fatigue, depression, sneezing, chest pain, headache, blurred vision,7",Hypertension
"fatigue, sore throat, rash, back pain, swelling, sneezing, weight gain,7",Dementia
"insomnia, abdominal pain, depression, anxiety, dizziness, diarrhea,6",IBS
"cough, joint pain, diarrhea, anxiety, sweating, insomnia, weight loss,7",Tuberculosis
"appetite loss, swelling, depression, nausea, anxiety, sneezing,6",COVID-19
"back pain, abdominal pain, sweating, nausea, dizziness,5",COVID-19
"shortness of breath, insomnia, nausea, sore throat,4",Depression
"tremors, back pain, nausea, weight loss, abdominal pain, appetite loss, weight gain,7",Pneumonia
"cough, depression, insomnia, dizziness, chest pain, diarrhea,6",Chronic Kidney Disease
"weight gain, blurred vision, rash, depression, appetite loss,5",Tuberculosis
"chest pain, blurred vision, vomiting, back pain, anxiety,5",Bronchitis
"depression, tremors, fatigue, fever, dizziness, swelling, weight loss,7",Ulcer
"blurred vision, shortness of breath, back pain, appetite loss, cough, weight loss, sore throat,7",Arthritis
"swelling, vomiting, joint pain, weight gain,4",Diabetes
"runny nose, vomiting, abdominal pain,3",Thyroid Disorder
"chest pain, depression, vomiting, rash,4",Depression
"rash, chest pain, insomnia,3",Chronic Kidney Disease
"runny nose, shortness of breath, rash,3",Liver Disease
"weight loss, swelling, cough, fatigue, abdominal pain, sneezing,6",Depression
"fever, joint pain, vomiting,3",Asthma
"nausea, depression, weight gain,3",Liver Disease
"insomnia, appetite loss, diarrhea, swelling,4",Depression
"rash, runny nose, weight gain,3",Obesity
"vomiting, runny nose, abdominal pain, blurred vision,4",Chronic Kidney Disease
"blurred vision, fever, depression, appetite loss, chest pain, runny nose, rash,7",Ulcer
"swelling, diarrhea, sweating,3",Obesity
"fatigue, nausea, diarrhea,3",Gastritis
"appetite loss, fatigue, swelling,3",Anxiety
"shortness of breath, fatigue, depression, rash,4",Parkinson's
"tremors, nausea, sore throat,3",Tuberculosis
"weight loss, sweating, fever,3",Pneumonia
"cough, joint pain, muscle pain, appetite loss, rash,5",Dementia
"blurred vision, shortness of breath, tremors,3",IBS
"chest pain, insomnia, rash,3",Thyroid Disorder
"joint pain, weight loss, weight gain,3",IBS
"shortness of breath, sneezing, back pain, fever, anxiety,5",Thyroid Disorder
"anxiety, shortness of breath, insomnia, depression, weight loss,5",Tuberculosis
"weight gain, fatigue, joint pain, fever,4",Sinusitis
"sore throat, blurred vision, muscle pain, dizziness, insomnia,5",Dementia
"rash, headache, anxiety,3",Thyroid Disorder
"chest pain, fatigue, depression, sweating, blurred vision,5",Asthma
"diarrhea, fever, shortness of breath, chest pain, dizziness,5",Allergy
"abdominal pain, insomnia, sore throat, weight loss, depression, joint pain, diarrhea,7",Allergy
"vomiting, dizziness, fever, weight loss,4",Chronic Kidney Disease
"headache, runny nose, shortness of breath,3",Dermatitis
"headache, muscle pain, back pain, anxiety, abdominal pain, rash,6",Pneumonia
"fever, dizziness, blurred vision, weight gain, swelling, back pain,6",Liver Disease
"weight gain, runny nose, swelling,3",Sinusitis
"depression, abdominal pain, headache, rash,4",IBS
"runny nose, depression, joint pain, sore throat, blurred vision, anxiety, tremors,7",Diabetes
"abdominal pain, weight gain, tremors, appetite loss,4",COVID-19
"weight loss, sneezing, blurred vision,3",Allergy
"weight gain, diarrhea, muscle pain, dizziness, depression, fever, cough,7",Stroke
"fever, weight loss, dizziness, runny nose, sweating, back pain, nausea,7",COVID-19
"nausea, fever, abdominal pain, depression,4",Dermatitis
"runny nose, sneezing, chest pain,3",Depression
"rash, swelling, muscle pain, diarrhea,4",Influenza
"weight gain, cough, insomnia, anxiety, runny nose, headache,6",COVID-19
"rash, tremors, swelling, sneezing, runny nose, weight gain, appetite loss,7",Diabetes
"abdominal pain, rash, nausea,3",Thyroid Disorder
"anxiety, abdominal pain, headache,3",Liver Disease
"joint pain, dizziness, sneezing,3",Depression
"anxiety, swelling, muscle pain, sneezing, headache, abdominal pain, nausea,7",Obesity
"runny nose, abdominal pain, back pain, joint pain, sweating, cough, shortness of breath,7",Anxiety
"insomnia, anxiety, nausea, dizziness, weight gain, abdominal pain, joint pain,7",Migraine
"fatigue, anxiety, rash, chest pain, depression,5",Anemia
"nausea, joint pain, weight gain, sweating, runny nose, tremors,6",Migraine
"sneezing, muscle pain, appetite loss, swelling, rash,5",Tuberculosis
"rash, anxiety, weight gain, abdominal pain, diarrhea, sore throat,6",Heart Disease
"rash, diarrhea, nausea, fatigue, weight loss, weight gain, sweating,7",Parkinson's
"cough, dizziness, insomnia, abdominal pain,4",Arthritis
"vomiting, sweating, diarrhea, insomnia, abdominal pain, weight loss, cough,7",Heart Disease
"sneezing, chest pain, nausea,3",Parkinson's
"anxiety, runny nose, back pain, dizziness, insomnia, muscle pain,6",Dermatitis
"depression, rash, back pain, headache, chest pain, insomnia,6",Pneumonia
"abdominal pain, joint pain, fatigue, appetite loss, diarrhea,5",Anemia
"shortness of breath, insomnia, sweating, weight gain, rash, cough,6",Heart Disease
"weight loss, tremors, rash,3",Dermatitis
"cough, vomiting, fever, sneezing, depression, blurred vision,6",Thyroid Disorder
"diarrhea, sweating, shortness of breath, abdominal pain, joint pain, sore throat,6",Asthma
"sneezing, anxiety, appetite loss, vomiting, chest pain, fever, depression,7",Stroke
"weight loss, blurred vision, shortness of breath, sore throat,4",Parkinson's
"sneezing, fever, diarrhea, insomnia, vomiting, cough, sore throat,7",Ulcer
"joint pain, depression, cough, muscle pain,4",Epilepsy
"blurred vision, back pain, sore throat, sneezing,4",Epilepsy
"sneezing, fever, swelling, dizziness, tremors, chest pain,6",Heart Disease
"weight loss, cough, fever,3",Influenza
"muscle pain, fever, blurred vision, joint pain,4",Allergy
"anxiety, fever, appetite loss, joint pain, weight loss, back pain, sneezing,7",Pneumonia
